vtj_prt,tyyppi,tila,i_kerrosala,c_vtj_prt,c_valmpvm,c_kiinteistotunnus,c_kayttark,c_rakennusluokka,counter
103036765L,Muu käyttötarkoitus,voimassa,30393.0,103036765L,2011-04-15T00:00:00+03:00,091-002-0013-0001,311,0710,1706
101992770B,Muu käyttötarkoitus,voimassa,15245.0,101992770B,1979-12-31T00:00:00+02:00,091-045-0158-0001,354,0742,1707
1030461766,Muu käyttötarkoitus,voimassa,14360.0,1030461766,1887-12-31T00:00:00+02:00,091-002-0097-0006,323,0713,1708
103266948V,Muu käyttötarkoitus,voimassa,4735.0,103266948V,1997-12-31T00:00:00+02:00,091-016-0735-0002,511,0820,1709
101662481V,Muu käyttötarkoitus,voimassa,5464.0,101662481V,1991-12-31T00:00:00+02:00,091-046-0123-0007,511,0820,1710
103075012C,Yleinen tai liikerakennus,voimassa,23024.0,103075012C,1958-12-31T00:00:00+02:00,091-004-0217-0001,151,0400,1711
1019854164,Muu käyttötarkoitus,voimassa,9425.0,1019854164,1992-12-31T00:00:00+02:00,091-420-0001-1172,354,0742,1712
1032291386,Muu käyttötarkoitus,voimassa,22521.0,1032291386,1935-12-31T00:00:00+02:00,091-014-0524-0001,354,0742,1713
103056015K,Yleinen tai liikerakennus,voimassa,23198.0,103056015K,1985-12-31T00:00:00+02:00,091-004-0064-0024,112,0311,1714
1034234710,Yleinen tai liikerakennus,voimassa,2698.0,1034234710,2014-02-21T00:00:00+02:00,091-028-0211-0002,112,0311,1715
101623238Y,Muu käyttötarkoitus,voimassa,8778.0,101623238Y,2009-08-14T00:00:00+03:00,091-045-0560-0001,354,0742,1716
1031902037,Muu käyttötarkoitus,voimassa,28957.0,1031902037,1931-12-31T00:00:00+02:00,091-013-0400-0002,151,0400,1717
103295048A,Yleinen tai liikerakennus,voimassa,10393.0,103295048A,1995-12-31T00:00:00+02:00,091-020-0010-0001,119,0319,1718
103273174P,Muu käyttötarkoitus,voimassa,14448.0,103273174P,1999-12-31T00:00:00+02:00,091-022-0586-0004,352,0741,1719
101955457P,Muu käyttötarkoitus,voimassa,9130.0,101955457P,1984-12-31T00:00:00+02:00,091-045-0068-0003,331,0720,1720
102354712W,Muu käyttötarkoitus,voimassa,3630.0,102354712W,2009-09-18T00:00:00+03:00,091-036-9904-0005,359,0749,1721
100095487N,Muu käyttötarkoitus,voimassa,4664.0,100095487N,1993-12-31T00:00:00+02:00,091-054-0222-0002,511,0820,1722
1023174618,Asuinrakennus,voimassa,4655.0,1023174618,1870-12-31T00:00:00+02:00,091-432-0006-0003,239,0621,1723
103238482L,Yleinen tai liikerakennus,voimassa,10014.0,103238482L,1967-12-31T00:00:00+02:00,091-015-0520-0019,,0121,1724
103079149U,Ei käyttömerkintää kartalla,voimassa,4705.0,103079149U,1999-12-31T00:00:00+02:00,091-035-0131-0002,511,0820,1725
1032670793,Muu käyttötarkoitus,voimassa,9402.0,1032670793,1986-12-31T00:00:00+02:00,091-017-0032-0001,322,0712,1726
101878182Y,Ei käyttömerkintää kartalla,voimassa,6568.0,101878182Y,2000-08-09T00:00:00+03:00,091-043-0271-0001,511,0820,1727
102384054D,Muu käyttötarkoitus,voimassa,7090.0,102384054D,1939-12-31T00:00:00+02:00,091-436-0003-0007,354,0743,1728
1023100539,Muu käyttötarkoitus,voimassa,9756.0,1023100539,1979-12-31T00:00:00+02:00,091-054-0090-0005,354,0742,1729
100163813R,Muu käyttötarkoitus,voimassa,6145.0,100163813R,1976-12-31T00:00:00+02:00,091-045-0063-0004,351,0740,1730
103060150Y,Muu käyttötarkoitus,voimassa,4957.0,103060150Y,2003-11-03T00:00:00+02:00,091-035-0066-0004,351,0740,1731
102310043Y,Muu käyttötarkoitus,voimassa,7114.0,102310043Y,2011-10-27T00:00:00+03:00,091-054-0087-0001,351,0740,1732
1030750022,Yleinen tai liikerakennus,voimassa,9656.0,1030750022,1989-12-31T00:00:00+02:00,091-004-0179-0011,239,0621,1733
103036796L,Yleinen tai liikerakennus,voimassa,9738.0,103036796L,1920-12-31T00:00:00+01:39,091-002-0035-0016,112,0311,1734
1023286761,Muu käyttötarkoitus,voimassa,4800.0,1023286761,2000-06-29T00:00:00+03:00,091-054-0179-0003,322,0712,1735
101701152A,Muu käyttötarkoitus,voimassa,3303.0,101701152A,2000-07-12T00:00:00+03:00,091-047-0059-0001,214,0610,1736
103055984K,Yleinen tai liikerakennus,voimassa,10115.0,103055984K,1891-12-31T00:00:00+02:00,091-004-0061-0004,151,0400,1737
103046169Y,Yleinen tai liikerakennus,voimassa,21891.0,103046169Y,1966-12-31T00:00:00+02:00,091-002-0096-0032,151,0400,1738
1007531697,Muu käyttötarkoitus,voimassa,2100.0,1007531697,1986-12-31T00:00:00+02:00,091-031-0115-0003,331,0720,1739
101691396L,Yleinen tai liikerakennus,voimassa,2726.0,101691396L,1988-12-31T00:00:00+02:00,091-047-0009-0002,342,0731,1740
103056022T,Asuinrakennus,voimassa,9596.0,103056022T,1911-12-31T00:00:00+01:39,091-004-0066-0012,151,0400,1741
1030462342,Yleinen tai liikerakennus,voimassa,14770.0,1030462342,1937-12-31T00:00:00+02:00,091-003-0049-0001,151,0400,1742
1032670461,Asuinrakennus,voimassa,9866.0,1032670461,1974-12-31T00:00:00+02:00,091-017-0011-0001,039,0121,1743
103122949R,Yleinen tai liikerakennus,voimassa,6610.0,103122949R,1993-12-31T00:00:00+02:00,091-008-0142-0005,151,0400,1744
103151956E,Yleinen tai liikerakennus,voimassa,13366.0,103151956E,1958-12-31T00:00:00+02:00,091-011-0299-0002,151,0400,1745
103171051D,Muu käyttötarkoitus,voimassa,12720.0,103171051D,1961-12-31T00:00:00+02:00,091-012-0352-0001,354,0742,1746
103126970E,Yleinen tai liikerakennus,voimassa,6362.0,103126970E,2011-09-27T00:00:00+03:00,091-036-0190-0004,151,0400,1747
101691467W,Muu käyttötarkoitus,voimassa,1786.0,101691467W,1975-12-31T00:00:00+02:00,091-047-0021-0007,322,0712,1748
103036789C,Yleinen tai liikerakennus,voimassa,9840.0,103036789C,1898-12-31T00:00:00+02:00,091-002-0034-0021,151,0400,1749
103017663D,Asuinrakennus,voimassa,8740.0,103017663D,1926-12-31T00:00:00+02:00,091-001-0009-0001,039,0121,1750
1021862045,Teollisuusrakennus,voimassa,1615.0,1021862045,1984-12-31T00:00:00+02:00,091-038-0254-0007,712,1211,1751
103180614W,Yleinen tai liikerakennus,voimassa,4639.0,103180614W,1966-12-31T00:00:00+02:00,091-012-0365-0041,541,0890,1752
103055959S,Muu käyttötarkoitus,voimassa,3795.0,103055959S,1884-12-31T00:00:00+02:00,091-004-0001-0012,521,0830,1753
1030560058,Asuinrakennus,voimassa,8052.0,1030560058,1922-12-31T00:00:00+02:00,091-004-0064-0002,151,0400,1754
103142292P,Teollisuusrakennus,voimassa,4204.0,103142292P,1951-12-31T00:00:00+02:00,091-010-0283-0014,331,0720,1755
103056009C,Muu käyttötarkoitus,voimassa,5248.0,103056009C,1928-12-31T00:00:00+02:00,091-004-0064-0010,354,0742,1756
101691468X,Yleinen tai liikerakennus,voimassa,1874.0,101691468X,1970-12-31T00:00:00+02:00,091-047-0021-0007,354,0742,1757
1030462353,Asuinrakennus,voimassa,4940.0,1030462353,1899-12-31T00:00:00+02:00,091-003-0049-0002,151,0400,1758
103282664U,Asuinrakennus,voimassa,4207.0,103282664U,2007-04-16T00:00:00+03:00,091-023-0124-0018,039,0121,1759
103046287S,Yleinen tai liikerakennus,voimassa,9920.0,103046287S,1955-12-31T00:00:00+02:00,091-003-0055-0005,151,0400,1760
1019854529,Talousrakennus,voimassa,3156.0,1019854529,1976-12-31T00:00:00+02:00,091-422-0006-0056,354,0743,1761
103151957F,Yleinen tai liikerakennus,voimassa,7006.0,103151957F,1981-12-31T00:00:00+02:00,091-011-0299-0003,151,0400,1762
103122874A,Muu käyttötarkoitus,voimassa,1170.0,103122874A,1910-01-01T00:00:00+01:39,091-008-0003-0001,359,0749,1763
103396237F,Muu käyttötarkoitus,voimassa,900.0,103396237F,1987-12-31T00:00:00+02:00,091-028-0153-0004,322,0712,1764
1030560590,Yleinen tai liikerakennus,voimassa,4799.0,1030560590,1972-12-31T00:00:00+02:00,091-004-0070-0006,151,0400,1765
103219335Y,Muu käyttötarkoitus,voimassa,2749.0,103219335Y,1970-12-31T00:00:00+02:00,091-014-0488-0001,322,0712,1766
1021649042,Muu käyttötarkoitus,voimassa,2443.0,1021649042,1972-12-31T00:00:00+02:00,091-040-0005-0005,112,0311,1767
103056020R,Asuinrakennus,voimassa,6842.0,103056020R,1938-12-31T00:00:00+02:00,091-004-0066-0010,151,0400,1768
103295080B,Yleinen tai liikerakennus,voimassa,1662.0,103295080B,1998-12-31T00:00:00+02:00,091-020-0017-0015,163,0513,1769
103295068Y,Asuinrakennus,voimassa,3775.0,103295068Y,1995-12-31T00:00:00+02:00,091-020-0015-0004,039,0121,1770
103036775X,Yleinen tai liikerakennus,voimassa,3887.0,103036775X,1910-12-31T00:00:00+01:39,091-002-0032-0006,151,0400,1771
103132718V,Asuinrakennus,voimassa,1200.0,103132718V,1901-12-31T00:00:00+01:39,091-432-0005-0002,141,0330,1772
102310159P,Muu käyttötarkoitus,voimassa,1185.0,102310159P,1999-11-10T00:00:00+02:00,091-054-0117-0003,331,0720,1773
103209211C,Asuinrakennus,voimassa,4060.0,103209211C,1920-12-31T00:00:00+01:39,091-013-0443-0023,039,0121,1774
1014569616,Muu käyttötarkoitus,voimassa,956.0,1014569616,1992-12-31T00:00:00+02:00,091-038-0016-0007,331,0720,1775
103199862T,Asuinrakennus,voimassa,2579.0,103199862T,1935-12-31T00:00:00+02:00,091-013-0433-0029,039,0121,1776
103170908T,Muu käyttötarkoitus,voimassa,2295.0,103170908T,1912-12-31T00:00:00+01:39,091-011-0333-0012,322,0712,1777
101992805F,Yleinen tai liikerakennus,voimassa,569.0,101992805F,2011-11-28T00:00:00+02:00,091-045-0185-0002,112,0311,1778
103455647X,Asuinrakennus,voimassa,3540.0,103455647X,1938-12-31T00:00:00+02:00,091-030-0019-0014,039,0120,1779
100747717B,Muu käyttötarkoitus,voimassa,525.0,100747717B,1958-01-01T00:00:00+02:00,091-442-0006-0219,331,0720,1780
1023076359,Muu käyttötarkoitus,voimassa,599.0,1023076359,1981-12-31T00:00:00+02:00,091-431-0001-0659,369,0790,1781
103455629B,Muu käyttötarkoitus,voimassa,717.0,103455629B,1989-12-31T00:00:00+02:00,091-030-0015-0014,322,0712,1782
103238454P,Talousrakennus,voimassa,574.0,103238454P,1997-12-31T00:00:00+02:00,091-014-9903-0102,359,0749,1783
1034585342,Muu käyttötarkoitus,voimassa,714.0,1034585342,1958-12-31T00:00:00+02:00,091-030-0076-0010,323,0713,1784
1034342346,Muu käyttötarkoitus,voimassa,1103.0,1034342346,1964-12-31T00:00:00+02:00,091-029-0006-0004,322,0712,1785
103209277H,Muu käyttötarkoitus,voimassa,860.0,103209277H,1843-12-31T00:00:00+02:00,091-013-9903-0103,323,0713,1786
102241492M,Teollisuusrakennus,voimassa,400.0,102241492M,1996-12-31T00:00:00+02:00,091-040-0128-0015,941,1911,1787
102384040Y,Asuinrakennus,voimassa,630.0,102384040Y,1910-12-31T00:00:00+01:39,091-435-0005-0049,521,0830,1788
101955455M,Muu käyttötarkoitus,voimassa,10207.0,101955455M,1993-12-31T00:00:00+02:00,091-045-0067-0002,352,0741,1789
103455628A,Muu käyttötarkoitus,voimassa,674.0,103455628A,1931-12-31T00:00:00+02:00,091-030-0015-0014,331,0720,1790
103132657W,Yleinen tai liikerakennus,voimassa,1466.0,103132657W,1929-12-31T00:00:00+02:00,091-009-0199-0011,151,0400,1791
103180635K,Asuinrakennus,voimassa,365.0,103180635K,1908-12-31T00:00:00+01:39,091-012-0373-0008,323,0713,1792
1017928754,Muu käyttötarkoitus,voimassa,314.0,1017928754,1920-12-31T00:00:00+01:39,091-432-0006-0003,369,0790,1793
,Asuinrakennus,voimassa,,,,,,,1
101858896U,Ei käyttömerkintää kartalla,voimassa,826.0,101858896U,1958-12-31T00:00:00+02:00,091-043-0201-0010,322,0712,1795
102394096B,Asuinrakennus,voimassa,413.0,102394096B,1902-12-31T00:00:00+01:39,091-437-0001-0014,011,0110,1796
1002680507,Asuinrakennus,voimassa,350.0,1002680507,1888-12-31T00:00:00+02:00,091-414-0001-0686,369,0790,1797
1009633198,Muu käyttötarkoitus,voimassa,11.0,1009633198,1975-12-31T00:00:00+02:00,091-033-9906-0002,999,1919,1798
103171019C,Asuinrakennus,voimassa,445.0,103171019C,1898-12-31T00:00:00+02:00,091-011-9903-0111,013,0111,1799
102317375F,Muu käyttötarkoitus,voimassa,199.0,102317375F,1902-12-31T00:00:00+01:39,091-432-0002-0000,013,0111,1800
1031710114,Muu käyttötarkoitus,voimassa,11945.0,1031710114,1982-12-31T00:00:00+02:00,091-011-9902-0101,169,0590,1801
1023839579,Asuinrakennus,voimassa,210.0,1023839579,1910-12-31T00:00:00+01:39,091-054-9903-0091,331,0720,1802
1002393082,Asuinrakennus,voimassa,,1002393082,1906-12-31T00:00:00+01:39,091-412-0002-0049,041,,1803
103036757B,Muu käyttötarkoitus,voimassa,11351.0,103036757B,1998-12-31T00:00:00+02:00,091-002-0009-0001,323,0713,1804
101504302A,Ei käyttömerkintää kartalla,voimassa,403.0,101504302A,1940-12-31T00:00:00+02:00,091-038-0122-0012,219,0619,1805
1022067918,Muu käyttötarkoitus,voimassa,2672.0,1022067918,2016-12-08T00:00:00+02:00,091-028-0211-0003,331,0720,1806
102326349Y,Talousrakennus,voimassa,,102326349Y,,091-433-0001-0026,941,1911,1807
1023707774,Yleinen tai liikerakennus,voimassa,12218.0,1023707774,2019-08-13T00:00:00+03:00,091-010-0289-0003,151,0400,1808
1033224807,Talousrakennus,voimassa,189.0,1033224807,1957-12-31T00:00:00+02:00,091-054-9903-0039,931,1910,1809
103531717T,Talousrakennus,voimassa,1132.0,103531717T,2016-06-20T00:00:00+03:00,091-054-9906-0008,162,0512,1810
101985456D,Muu käyttötarkoitus,voimassa,3150.0,101985456D,1984-12-31T00:00:00+02:00,091-422-0006-0056,351,0740,1811
102119505K,Yleinen tai liikerakennus,voimassa,729.0,102119505K,1971-12-31T00:00:00+02:00,091-047-0301-0001,112,0311,1812
1031402583,Asuinrakennus,voimassa,1315.0,1031402583,1980-12-31T00:00:00+02:00,091-041-0200-0009,039,0121,1813
1016914700,Yleinen tai liikerakennus,voimassa,3841.0,1016914700,1967-12-31T00:00:00+02:00,091-047-0021-0011,112,0311,1814
103630499A,Talousrakennus,voimassa,6529.0,103630499A,2018-09-03T00:00:00+03:00,091-033-0147-0001,351,0740,1815
102326238C,Muu käyttötarkoitus,voimassa,876.0,102326238C,1760-12-31T00:00:00+02:00,091-432-0006-0003,322,0712,1816
101523682F,Muu käyttötarkoitus,voimassa,7246.0,101523682F,2006-02-10T00:00:00+02:00,091-038-0155-0017,351,0740,1817
1030940727,Asuinrakennus,voimassa,720.0,1030940727,1913-12-31T00:00:00+01:39,091-006-0230-0001,012,0111,1818
,Muu käyttötarkoitus,voimassa,,,,,,,1
100154661H,Talousrakennus,voimassa,9967.0,100154661H,1968-12-31T00:00:00+02:00,091-403-0001-0142,354,0742,1820
103534449X,Muu käyttötarkoitus,voimassa,13434.0,103534449X,2018-11-28T00:00:00+02:00,091-002-0014-0005,322,0712,1821
100914546X,Muu käyttötarkoitus,voimassa,4875.0,100914546X,1992-12-31T00:00:00+02:00,091-033-0183-0003,331,0720,1822
103276296D,Muu käyttötarkoitus,voimassa,3261.0,103276296D,1990-12-31T00:00:00+02:00,091-017-0051-0004,354,0742,1823
103201974X,Yleinen tai liikerakennus,voimassa,99292.0,103201974X,2018-09-19T00:00:00+03:00,091-010-9906-0100,112,0311,1824
103238462Y,Muu käyttötarkoitus,voimassa,23721.0,103238462Y,1966-12-31T00:00:00+02:00,091-014-9904-0100,351,0740,1825
101504312M,Yleinen tai liikerakennus,voimassa,16590.0,101504312M,2014-03-24T00:00:00+02:00,091-038-0122-0019,213,0613,1826
103055979D,Asuinrakennus,voimassa,81257.0,103055979D,2005-09-16T00:00:00+03:00,091-004-0007-0006,112,0311,1827
103600751P,Yleinen tai liikerakennus,voimassa,9099.0,103600751P,2018-10-15T00:00:00+03:00,091-049-0034-0005,112,0311,1828
103238481K,Yleinen tai liikerakennus,voimassa,9277.0,103238481K,1967-12-31T00:00:00+02:00,091-015-0520-0002,521,0830,1829
101983673W,Ei käyttömerkintää kartalla,voimassa,3231.0,101983673W,1966-12-31T00:00:00+02:00,091-045-0147-0003,511,0820,1830
1032827011,Yleinen tai liikerakennus,voimassa,118466.0,1032827011,1874-12-31T00:00:00+02:00,091-023-0669-0012,699,0911,1831
1019836217,Yleinen tai liikerakennus,voimassa,12795.0,1019836217,1970-12-31T00:00:00+02:00,091-045-0136-0002,239,0621,1832
103382829Y,Muu käyttötarkoitus,voimassa,48241.0,103382829Y,1941-12-31T00:00:00+02:00,091-020-0001-0006,,0713,1833
1038409801,Talousrakennus,voimassa,8512.0,1038409801,2021-09-17T00:00:00+03:00,091-028-0206-0001,351,0740,1834
1032858033,Yleinen tai liikerakennus,voimassa,6130.0,1032858033,1985-12-31T00:00:00+02:00,091-017-0086-0005,163,0513,1835
101691524R,Yleinen tai liikerakennus,voimassa,15797.0,101691524R,2009-09-18T00:00:00+03:00,091-047-0031-0011,221,0620,1836
103383746J,Yleinen tai liikerakennus,voimassa,2751.0,103383746J,2010-10-18T00:00:00+03:00,091-028-0073-0004,239,0621,1837
101868526F,Yleinen tai liikerakennus,voimassa,7481.0,101868526F,1962-12-31T00:00:00+02:00,091-043-0221-0002,221,0620,1838
103142234U,Teollisuusrakennus,voimassa,800.0,103142234U,1909-12-31T00:00:00+01:39,091-010-0252-0002,369,0790,1839
,Muu käyttötarkoitus,voimassa,,,,,,,1
101992771C,Yleinen tai liikerakennus,voimassa,6199.0,101992771C,2012-05-16T00:00:00+03:00,091-045-0162-0004,219,0610,1841
101437624D,Yleinen tai liikerakennus,voimassa,3077.0,101437624D,1985-12-31T00:00:00+02:00,091-037-0041-0010,112,0311,1842
103063246U,Ei käyttömerkintää kartalla,voimassa,9177.0,103063246U,1990-12-31T00:00:00+02:00,091-041-0081-0002,511,0820,1843
1031998381,Ei käyttömerkintää kartalla,voimassa,13648.0,1031998381,1950-12-31T00:00:00+02:00,091-013-0428-0001,531,0840,1844
102108629R,Ei käyttömerkintää kartalla,voimassa,7791.0,102108629R,2004-06-14T00:00:00+03:00,091-039-0241-0015,511,0820,1845
103127002F,Ei käyttömerkintää kartalla,voimassa,9956.0,103127002F,1999-05-31T00:00:00+03:00,091-036-0207-0005,531,0840,1846
103238492X,Ei käyttömerkintää kartalla,voimassa,17271.0,103238492X,1940-12-31T00:00:00+02:00,091-015-0526-0003,521,0830,1847
1031403878,Asuinrakennus,voimassa,48863.0,1031403878,2020-02-27T00:00:00+02:00,091-043-0051-0018,112,0311,1848
1030368390,Yleinen tai liikerakennus,voimassa,13888.0,1030368390,1913-12-31T00:00:00+01:39,091-002-0096-0010,121,0320,1849
1033039383,Muu käyttötarkoitus,voimassa,20781.0,1033039383,2010-03-26T00:00:00+02:00,091-020-0786-0007,,0742,1850
1030750066,Yleinen tai liikerakennus,voimassa,3583.0,1030750066,1920-12-31T00:00:00+01:39,091-004-0218-0002,312,0711,1851
103792665F,Muu käyttötarkoitus,voimassa,70.0,103792665F,1976-01-01T00:00:00+02:00,091-033-9904-0005,141,0330,1852
1034484359,Muu käyttötarkoitus,voimassa,1624.0,1034484359,1956-12-31T00:00:00+02:00,091-029-0138-0013,112,0311,1853
103515407N,Muu käyttötarkoitus,voimassa,598.0,103515407N,2016-01-28T00:00:00+02:00,091-036-0223-0001,331,0720,1854
,Muu käyttötarkoitus,voimassa,,,,,,,1
102326329A,Ei käyttömerkintää kartalla,voimassa,393.0,102326329A,1958-12-31T00:00:00+02:00,091-432-0006-0004,511,0820,1856
103149692D,Ei käyttömerkintää kartalla,voimassa,9940.0,103149692D,1972-12-31T00:00:00+02:00,091-041-0216-0005,511,0820,1857
1032092665,Muu käyttötarkoitus,voimassa,22791.0,1032092665,1971-12-31T00:00:00+02:00,091-013-0465-0006,311,0710,1858
103303921J,Muu käyttötarkoitus,voimassa,77354.0,103303921J,1940-12-31T00:00:00+02:00,091-020-0781-0007,151,0400,1859
103036836W,Yleinen tai liikerakennus,voimassa,5868.0,103036836W,1870-12-31T00:00:00+02:00,091-002-0096-0009,331,0720,1860
103739471J,Yleinen tai liikerakennus,voimassa,8562.0,103739471J,2020-05-25T00:00:00+03:00,091-022-0403-0003,151,0400,1861
103036764K,Yleinen tai liikerakennus,voimassa,1377.0,103036764K,1910-12-31T00:00:00+01:39,091-002-0012-0001,141,0330,1862
103798096N,Muu käyttötarkoitus,voimassa,50.0,103798096N,1999-12-01T00:00:00+02:00,091-043-9903-0020,941,1911,1863
1033096080,Muu käyttötarkoitus,voimassa,31641.0,1033096080,2001-01-26T00:00:00+02:00,091-024-0959-0002,531,0840,1864
101777020N,Yleinen tai liikerakennus,voimassa,2596.0,101777020N,1998-12-31T00:00:00+02:00,091-054-9901-0000,169,0590,1865
1014761229,Muu käyttötarkoitus,voimassa,3458.0,1014761229,1983-12-31T00:00:00+02:00,091-038-0075-0004,352,0741,1866
1040697988,Ei käyttömerkintää kartalla,voimassa,,,,,,,1
103457071V,Ei käyttömerkintää kartalla,voimassa,10537.0,103457071V,1952-12-31T00:00:00+02:00,091-030-0043-0002,511,0820,1868
1030462397,Muu käyttötarkoitus,voimassa,3794.0,1030462397,1882-12-31T00:00:00+02:00,091-003-0049-0006,322,0712,1869
1014761185,Muu käyttötarkoitus,voimassa,7132.0,1014761185,1994-12-31T00:00:00+02:00,091-038-0074-0002,331,0720,1870
103285911K,Asuinrakennus,voimassa,60.0,103285911K,1870-12-31T00:00:00+02:00,091-432-0005-0002,011,0110,1871
103276344Y,Asuinrakennus,voimassa,1883.0,103276344Y,1914-12-31T00:00:00+01:39,091-017-0061-0002,941,1911,1872
103055950F,Muu käyttötarkoitus,voimassa,113.0,103055950F,1891-12-31T00:00:00+02:00,091-003-9903-0102,369,0790,1873
103303927R,Teollisuusrakennus,voimassa,1658.0,103303927R,1973-12-31T00:00:00+02:00,091-020-0012-0004,611,,1874
103810843V,Yleinen tai liikerakennus,voimassa,,,,,,,1
1016914755,Yleinen tai liikerakennus,voimassa,12068.0,1016914755,1988-12-31T00:00:00+02:00,091-047-0021-0012,112,0311,1876
1040045693,Talousrakennus,voimassa,7051.0,1040045693,2023-08-30T00:00:00+03:00,091-043-0285-0002,351,0740,1877
